#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
01060 -112.11363   -5.51976    1339983.378     0.617    -4.697   1  16  14   0.095   0.542  -0.092  -0.023   0.542   0.772   1.060   1.311 
01070 -111.93660   -6.00961    1340023.588     0.570    -4.590   1  16  15   0.066   0.502  -0.052  -0.040   0.502   0.677   0.960   1.175 
01080 -111.75918   -6.49936    1340066.447     0.592    -4.686   1  16  15   0.050   0.499  -0.024  -0.044   0.499   0.677   0.960   1.175 
01090 -111.58133   -6.98901    1340111.898     0.585    -4.706   1  16  14   0.073   0.487  -0.046   0.056   0.487   0.711   0.983   1.213 
01100 -111.40304   -7.47854    1340159.912     0.565    -4.706   1  16  14   0.066   0.452  -0.056   0.035   0.452   0.711   0.983   1.213 
01110 -111.22425   -7.96794    1340210.586     0.625    -4.799   1  16  14   0.070   0.506  -0.059   0.039   0.506   0.711   0.983   1.213 
01120 -111.04494   -8.45722    1340263.696     0.569    -4.739   1  17  14   0.058   0.440  -0.048   0.033   0.440   0.711   0.983   1.213 
01130 -110.86507   -8.94636    1340319.394     0.571    -4.777   1  16  13   0.033   0.423  -0.033  -0.000   0.423   0.788   1.063   1.323 
01140 -110.68462   -9.43534    1340377.530     0.485    -4.709   1  16  13   0.074   0.320  -0.074  -0.004   0.320   0.786   1.064   1.323 
01150 -110.50354   -9.92417    1340438.390     0.608    -4.902   1  16  14   0.048   0.439  -0.047   0.008   0.439   0.769   1.017   1.276 
01160 -110.32180  -10.41284    1340501.638     0.619    -4.898   1  16  14   0.027   0.461  -0.020  -0.018   0.461   0.767   1.020   1.276 
01170 -110.13936  -10.90133    1340567.393     0.699    -5.019   1  16  14   0.053   0.524   0.011  -0.052   0.524   0.765   1.022   1.277 
01180 -109.95620  -11.38964    1340635.519     0.668    -4.948   1  16  14   0.074   0.514   0.029  -0.068   0.514   0.763   1.024   1.277 
01190 -109.77227  -11.87776    1340706.107     0.700    -4.979   1  16  14   0.057   0.545   0.008  -0.056   0.545   0.761   1.025   1.277 
01200 -109.58754  -12.36568    1340778.965     0.595    -4.817   1  15  13   0.046   0.444   0.001  -0.045   0.444   0.902   1.198   1.500 
01210 -109.40197  -12.85339    1340854.287     0.582    -4.810   1  15  13   0.029   0.433  -0.015  -0.025   0.433   0.897   1.201   1.499 
01220 -109.21553  -13.34088    1340931.944     0.538    -4.683   1  14  13   0.042   0.404   0.009  -0.041   0.404   0.893   1.207   1.501 
01230 -109.02817  -13.82814    1341011.963     0.531    -4.678   1  14  13   0.049   0.409   0.035  -0.034   0.409   0.888   1.211   1.501 
01240 -108.83987  -14.31517    1341094.320     0.555    -4.634   1  15  13   0.037   0.452   0.011  -0.036   0.452   0.883   1.215   1.502 
01250 -108.65057  -14.80195    1341178.774     0.435    -4.544   1  15  13   0.010   0.315   0.010   0.001   0.315   0.879   1.218   1.502 
